timestamp,graph_nodes,graph_edges,insertion_time_nodes,insertion_time_edges
2026-06-09T13:26:19.294155,35736,126083,272,207
2026-06-09T13:26:19.531628,35736,126083,16,62
2026-06-09T13:26:20.204296,35739,126083,164,329
2026-06-09T13:26:20.637917,35739,126087,50,213
2026-06-09T13:26:20.897316,35739,126087,16,114
2026-06-09T13:26:21.365264,35739,126087,17,197
2026-06-09T13:26:21.806923,35739,126087,24,192
2026-06-09T13:26:22.024393,35739,126087,11,87
2026-06-09T13:26:22.343913,35739,126087,12,121
2026-06-09T13:26:23.402891,35739,126087,9,129
2026-06-09T13:26:24.442399,35739,126087,10,142
2026-06-09T13:26:25.309786,35739,126087,12,63
2026-06-09T13:26:26.442083,35739,126087,8,110
2026-06-09T13:26:27.443897,35739,126087,14,115
2026-06-09T13:26:28.496023,35739,126087,8,160
2026-06-09T13:26:29.545796,35739,126087,9,156
2026-06-09T13:26:30.618488,35739,126087,10,155
2026-06-09T13:26:31.666068,35739,126087,8,214
2026-06-09T13:26:32.535973,35739,126087,7,106
2026-06-09T13:26:33.658498,35739,126087,6,179
2026-06-09T13:26:34.696728,35739,126087,66,127
2026-06-09T13:26:35.667659,35739,126087,7,119
2026-06-09T13:26:36.627715,35739,126087,7,113
2026-06-09T13:26:37.730513,35739,126087,7,174
2026-06-09T13:26:38.585043,35739,126087,4,1
2026-06-09T13:26:39.514881,35739,126087,6,0
2026-06-09T13:26:40.532094,35740,126087,6,1
2026-06-09T13:26:44.791493,35742,126087,24,163
2026-06-09T13:26:48.808990,35743,126091,14,57
2026-06-09T13:26:49.848860,35743,126093,5,0
2026-06-09T13:26:50.941028,35743,126093,7,56
2026-06-09T13:26:51.871875,35744,126093,5,0
2026-06-09T13:26:52.893368,35744,126093,5,0
2026-06-09T13:26:57.257111,35745,126093,36,196
2026-06-09T13:26:58.213015,35745,126099,7,89
2026-06-09T13:26:59.237068,35745,126099,7,113
2026-06-09T13:27:00.184911,35746,126099,5,63
2026-06-09T13:27:01.117323,35748,126100,4,0
2026-06-09T13:27:02.206370,35748,126100,5,50
2026-06-09T13:27:06.183152,35749,126101,20,94
2026-06-09T13:27:07.154756,35750,126104,4,0
2026-06-09T13:27:08.195882,35750,126104,4,0
2026-06-09T13:27:12.192781,35751,126104,13,89
2026-06-09T13:27:16.547150,35755,126107,67,388
2026-06-09T13:27:17.277224,35755,126116,7,92
2026-06-09T13:27:22.384133,35756,126116,170,825
2026-06-09T13:27:25.168050,35757,126141,14,92
2026-06-09T13:27:26.269755,35757,126144,12,100
2026-06-09T13:27:27.149268,35758,126144,5,1
2026-06-09T13:27:28.151930,35759,126144,6,0
2026-06-09T13:27:29.282638,35759,126144,7,56
2026-06-09T13:27:30.182856,35760,126144,4,0
2026-06-09T13:27:31.621290,35761,126144,6,291
2026-06-09T13:27:35.249642,35762,126154,15,58
2026-06-09T13:27:36.389646,35762,126156,6,103
2026-06-09T13:27:40.433287,35763,126156,31,156
2026-06-09T13:27:41.686954,35764,126161,7,240
2026-06-09T13:27:42.522969,35765,126171,8,121
2026-06-09T13:27:43.406014,35766,126174,7,34
2026-06-09T13:27:44.549662,35767,126175,7,122
2026-06-09T13:27:48.581206,35768,126178,43,238
2026-06-09T13:27:52.193807,35769,126185,14,89
2026-06-09T13:27:56.277247,35770,126188,44,204
2026-06-09T13:27:57.199584,35770,126194,6,86
2026-06-09T13:27:58.071238,35771,126194,5,0
2026-06-09T13:27:59.227066,35772,126194,8,72
2026-06-09T13:28:03.262182,35773,126196,25,152
2026-06-09T13:28:04.264317,35773,126201,6,83
2026-06-09T13:28:08.121280,35774,126201,23,178
2026-06-09T13:28:11.924660,35775,126206,15,98
2026-06-09T13:28:13.028509,35776,126210,6,87
2026-06-09T13:28:17.233717,35777,126213,39,208
2026-06-09T13:28:18.423841,35777,126220,8,238
2026-06-09T13:28:22.139364,35778,126220,14,95
2026-06-09T13:28:23.223225,35778,126223,6,63
2026-06-09T13:28:24.232651,35778,126223,6,74
2026-06-09T13:28:28.158273,35780,126223,31,187
2026-06-09T13:28:28.987379,35780,126229,5,1
2026-06-09T13:28:33.438797,35781,126229,74,306
2026-06-09T13:28:38.896063,35782,126239,299,1571
2026-06-09T13:28:40.845692,35783,126282,15,57
2026-06-09T13:28:46.238956,35784,126284,208,1163
